SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-28-2017,Single Family Residential,3265 Baywood Ln,Napa,CA,94558,558000,3,2,Napa,1175,6203,,83,475,,Sold,,,http://www.redfin.com/CA/Napa/3265-Baywood-Ln-94558/home/12207713,BAREIS,21726526,N,Y,38.3167448,-122.3205172
PAST SALE,December-29-2017,Single Family Residential,30 Emperor Way,Napa,CA,94558,1400000,4,3.5,Napa,3180,14342,1994,82,440,,Sold,,,http://www.redfin.com/CA/Napa/30-Emperor-Way-94558/home/12201650,BAREIS,21726265,N,Y,38.3355785,-122.3281342
PAST SALE,January-17-2018,Single Family Residential,731 Somerset Pl,Napa,CA,94558,555000,4,2,Napa,1601,8607,1955,63,347,,Sold,,,http://www.redfin.com/CA/Napa/731-Somerset-Pl-94558/home/12189335,BAREIS,21728156,N,Y,38.2828138,-122.3074293
PAST SALE,February-2-2018,Single Family Residential,2561 Wimbledon St,Napa,CA,94558,540000,4,2,Napa,1559,,,47,346,,Sold,,,http://www.redfin.com/CA/Napa/2561-Wimbledon-St-94558/home/12189402,BAREIS,21800056,N,Y,38.2822079,-122.3045287
PAST SALE,December-29-2017,Single Family Residential,2005 Oak St,Napa,CA,94559,1300000,4,4.5,Napa,4124,6961,1925,82,315,,Sold,,,http://www.redfin.com/CA/Napa/2005-Oak-St-94559/home/12188527,BAREIS,21715037,N,Y,38.2948072,-122.2960906
PAST SALE,December-28-2017,Single Family Residential,2574 Harvest Ln,Napa,CA,94558,669000,3,2,Napa,1672,5680,1991,83,400,,Sold,,,http://www.redfin.com/CA/Napa/2574-Harvest-Ln-94558/home/12193303,BAREIS,21727000,N,Y,38.3296748,-122.3373446
PAST SALE,March-15-2018,Single Family Residential,3741 Beartooth Ln,Napa,CA,94558,1495000,5,3.5,Napa,3856,17563,2010,6,388,193,Sold,,,http://www.redfin.com/CA/Napa/3741-Beartooth-Ln-94558/home/22603969,BAREIS,21726912,N,Y,38.3054557,-122.3496756
PAST SALE,February-16-2018,Single Family Residential,1036 Bell Ln,Napa,CA,94558,1500000,3,2.5,Napa,2719,35545,1951,33,552,,Sold,,,http://www.redfin.com/CA/Napa/1036-Bell-Ln-94558/home/12214581,BAREIS,21725295,N,Y,38.332091,-122.263529
PAST SALE,December-29-2017,Single Family Residential,2030 Ida St,Napa,CA,94558,522500,3,2,Napa,1189,6399,1956,82,439,,Sold,,,http://www.redfin.com/CA/Napa/2030-Ida-St-94558/home/12185539,BAREIS,21724447,N,Y,38.3114879,-122.2862785
PAST SALE,February-8-2018,Single Family Residential,1183 Mountain View Cir,Napa,CA,94558,715000,4,2,Napa,1845,6704,1975,41,388,,Sold,,,http://www.redfin.com/CA/Napa/1183-Mountain-View-Cir-94558/home/12215457,BAREIS,21728582,N,Y,38.3021836,-122.3391158
